period,horizon_h,population,subset,family,scheduled_rows,missing_truth,observed_targets,pairs,failures,hits,paired_hit_fraction,observed_target_hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
2021,2,missing24,all,raw_plus2020,742,0,742,742,0,738,0.9946091644204852,0.9946091644204852,0.06602053684248134,-0.047649620361683576,0.2784771152114246,0.6360702113013028
2021,2,missing24,all,normalized_original,742,0,742,742,0,740,0.9973045822102425,0.9973045822102425,0.05085960733070485,0.015056847324427813,0.286763084604054,0.6342456973448094
2021,2,missing24,all,normalized_plus2020,742,0,742,742,0,738,0.9946091644204852,0.9946091644204852,0.06454792469149634,-0.04536589539411121,0.27929243916128266,0.6325043366618024
2021,2,missing24,level_ge_7m,raw_original,742,0,11,11,0,11,1.0,1.0,0.12540874236325428,-0.03846955704905182,0.2771507150015996,0.2849241743743667
2021,2,missing24,level_ge_7m,raw_plus2020,742,0,11,11,0,11,1.0,1.0,0.11317272734001675,-0.02935985772128046,0.34101078788541633,0.36291737356460096
2021,2,missing24,level_ge_7m,normalized_original,742,0,11,11,0,11,1.0,1.0,0.12540874236325428,-0.03846955704905182,0.2771507150015996,0.2849241743743667
2021,2,missing24,level_ge_7m,normalized_plus2020,742,0,11,11,0,11,1.0,1.0,0.11201416560472843,-0.029155253187417397,0.336023245047912,0.3568815902946598
2021,3,full_schedule,all,raw_original,741,0,741,741,0,731,0.9865047233468286,0.9865047233468286,0.09714056357585706,0.031563220118777595,0.4747600738114355,0.8006281654894924
2021,3,full_schedule,all,raw_plus2020,741,0,741,741,0,732,0.9878542510121457,0.9878542510121457,0.09356467592984698,-0.006715913044357383,0.44947038217983387,0.9195036920337432
2021,3,full_schedule,all,normalized_original,741,0,741,741,0,731,0.9865047233468286,0.9865047233468286,0.09714056357585706,0.031563220118777595,0.4747600738114355,0.8006281654894924
2021,3,full_schedule,all,normalized_plus2020,741,0,741,741,0,732,0.9878542510121457,0.9878542510121457,0.09269863596807851,-0.005605805839257989,0.4396813790779606,0.8991669704199272
2021,3,full_schedule,level_ge_7m,raw_original,741,0,11,11,0,11,1.0,1.0,0.13676156033205047,-0.08303120504120648,0.2793396078142628,0.28106805853045014
2021,3,full_schedule,level_ge_7m,raw_plus2020,741,0,11,11,0,11,1.0,1.0,0.20935460203355652,0.09563395194196604,0.41378756823124246,0.42153870839435115
2021,3,full_schedule,level_ge_7m,normalized_original,741,0,11,11,0,11,1.0,1.0,0.13676156033205047,-0.08303120504120648,0.2793396078142628,0.28106805853045014
2021,3,full_schedule,level_ge_7m,normalized_plus2020,741,0,11,11,0,11,1.0,1.0,0.2125173854478812,0.09338045678302978,0.41343798817403227,0.4214300820597119
2021,3,complete24,all,raw_original,0,0,0,0,0,0,,,,,,
2021,3,complete24,all,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,3,complete24,all,normalized_original,0,0,0,0,0,0,,,,,,
2021,3,complete24,all,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,3,complete24,level_ge_7m,raw_original,0,0,0,0,0,0,,,,,,
2021,3,complete24,level_ge_7m,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,3,complete24,level_ge_7m,normalized_original,0,0,0,0,0,0,,,,,,
2021,3,complete24,level_ge_7m,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,3,missing24,all,raw_original,741,0,741,741,0,731,0.9865047233468286,0.9865047233468286,0.09714056357585706,0.031563220118777595,0.4747600738114355,0.8006281654894924
2021,3,missing24,all,raw_plus2020,741,0,741,741,0,732,0.9878542510121457,0.9878542510121457,0.09356467592984698,-0.006715913044357383,0.44947038217983387,0.9195036920337432
2021,3,missing24,all,normalized_original,741,0,741,741,0,731,0.9865047233468286,0.9865047233468286,0.09714056357585706,0.031563220118777595,0.4747600738114355,0.8006281654894924
2021,3,missing24,all,normalized_plus2020,741,0,741,741,0,732,0.9878542510121457,0.9878542510121457,0.09269863596807851,-0.005605805839257989,0.4396813790779606,0.8991669704199272
2021,3,missing24,level_ge_7m,raw_original,741,0,11,11,0,11,1.0,1.0,0.13676156033205047,-0.08303120504120648,0.2793396078142628,0.28106805853045014
2021,3,missing24,level_ge_7m,raw_plus2020,741,0,11,11,0,11,1.0,1.0,0.20935460203355652,0.09563395194196604,0.41378756823124246,0.42153870839435115
2021,3,missing24,level_ge_7m,normalized_original,741,0,11,11,0,11,1.0,1.0,0.13676156033205047,-0.08303120504120648,0.2793396078142628,0.28106805853045014
2021,3,missing24,level_ge_7m,normalized_plus2020,741,0,11,11,0,11,1.0,1.0,0.2125173854478812,0.09338045678302978,0.41343798817403227,0.4214300820597119
2021,4,full_schedule,all,raw_original,740,0,740,740,0,716,0.9675675675675676,0.9675675675675676,0.1846111187143634,0.11003037129693607,0.5697088323933436,1.028971540581634
2021,4,full_schedule,all,raw_plus2020,740,0,740,740,0,706,0.9540540540540541,0.9540540540540541,0.13256190370048768,-0.08117127966717308,0.6783906953111419,1.126566702418031
2021,4,full_schedule,all,normalized_original,740,0,740,740,0,715,0.9662162162162162,0.9662162162162162,0.17376049690514708,0.09632136178839132,0.5759131415152813,1.0756000014850855
2021,4,full_schedule,all,normalized_plus2020,740,0,740,740,0,706,0.9540540540540541,0.9540540540540541,0.14149566958623988,-0.08462011152213697,0.696968897130609,1.126055912567396
2021,4,full_schedule,level_ge_7m,raw_original,740,0,11,11,0,11,1.0,1.0,0.1763075303324659,-0.11312085093396872,0.41803847018452445,0.4563349369465932
2021,4,full_schedule,level_ge_7m,raw_plus2020,740,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.2595591458857527,-0.09760814797487928,0.6447166009664318,0.6699216282108251
2021,4,full_schedule,level_ge_7m,normalized_original,740,0,11,11,0,11,1.0,1.0,0.19194655872508773,-0.14649772753841653,0.45191554307444654,0.4950007472629885
2021,4,full_schedule,level_ge_7m,normalized_plus2020,740,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.2681874729667626,-0.09509992845322333,0.6351265035024849,0.6545336007216651
2021,4,complete24,all,raw_original,0,0,0,0,0,0,,,,,,
2021,4,complete24,all,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,4,complete24,all,normalized_original,0,0,0,0,0,0,,,,,,
2021,4,complete24,all,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,4,complete24,level_ge_7m,raw_original,0,0,0,0,0,0,,,,,,
2021,4,complete24,level_ge_7m,raw_plus2020,0,0,0,0,0,0,,,,,,
2021,4,complete24,level_ge_7m,normalized_original,0,0,0,0,0,0,,,,,,
2021,4,complete24,level_ge_7m,normalized_plus2020,0,0,0,0,0,0,,,,,,
2021,4,missing24,all,raw_original,740,0,740,740,0,716,0.9675675675675676,0.9675675675675676,0.1846111187143634,0.11003037129693607,0.5697088323933436,1.028971540581634
2021,4,missing24,all,raw_plus2020,740,0,740,740,0,706,0.9540540540540541,0.9540540540540541,0.13256190370048768,-0.08117127966717308,0.6783906953111419,1.126566702418031
2021,4,missing24,all,normalized_original,740,0,740,740,0,715,0.9662162162162162,0.9662162162162162,0.17376049690514708,0.09632136178839132,0.5759131415152813,1.0756000014850855
2021,4,missing24,all,normalized_plus2020,740,0,740,740,0,706,0.9540540540540541,0.9540540540540541,0.14149566958623988,-0.08462011152213697,0.696968897130609,1.126055912567396
2021,4,missing24,level_ge_7m,raw_original,740,0,11,11,0,11,1.0,1.0,0.1763075303324659,-0.11312085093396872,0.41803847018452445,0.4563349369465932
2021,4,missing24,level_ge_7m,raw_plus2020,740,0,11,11,0,9,0.8181818181818182,0.8181818181818182,0.2595591458857527,-0.09760814797487928,0.6447166009664318,0.6699216282108251
