lead_h,family,phase,subset,n,mae_m3_s,bias_m3_s,p90_absolute_m3_s
0,reference_delta_full,validation,all,6552,20.089830796709816,2.1619040632188926,50.76036046921607
0,reference_delta_full,validation,high_flow,28,104.43662294940704,-15.495937397765898,265.7196658667419
0,reference_delta_full,test,all,1968,46.27849378837248,0.31924112300384205,127.88659839479827
0,reference_delta_full,test,high_flow,271,118.19237747447443,-14.073156646539523,248.89068917657698
0,level_ridge_unconstrained,validation,all,6552,166.98960405259672,164.18894425982646,236.04124046214167
0,level_ridge_unconstrained,validation,high_flow,28,217.23801325806494,185.71742342717292,347.72988886213716
0,level_ridge_unconstrained,test,all,1968,116.29733979572177,83.83214804799871,232.9226789078392
0,level_ridge_unconstrained,test,high_flow,271,188.82967815581432,42.51386883968861,356.72214277226067
0,level_ridge_nonnegative,validation,all,6552,171.28200492504575,170.6681597221227,240.08913051730414
0,level_ridge_nonnegative,validation,high_flow,28,241.332716853504,212.98643664435932,408.3387241038778
0,level_ridge_nonnegative,test,all,1968,114.56479396057786,83.28281496665609,232.35442979527957
0,level_ridge_nonnegative,test,high_flow,271,189.0355326580497,50.32008897259992,368.0185322329612
1,reference_delta_full,validation,all,6551,37.08286033730727,4.681780181140661,93.7770120826632
1,reference_delta_full,validation,high_flow,28,162.42744802633683,-21.6760541688351,358.83128016728415
1,reference_delta_full,test,all,1967,82.7616322730008,0.6952702122812783,229.5143935248307
1,reference_delta_full,test,high_flow,271,206.87023845505792,-32.3224648128019,354.16347045920827
1,level_ridge_unconstrained,validation,all,6551,168.34925317399345,165.10832523664328,250.4390085019238
1,level_ridge_unconstrained,validation,high_flow,28,218.30174820506593,192.44656213423164,368.89320733361507
1,level_ridge_unconstrained,test,all,1967,130.63896719816537,83.48207654571705,280.03919434025545
1,level_ridge_unconstrained,test,high_flow,271,224.93298088941856,20.615696987775596,391.2382161724759
1,level_ridge_nonnegative,validation,all,6551,172.15941675168523,171.0957281784846,250.77163269970703
1,level_ridge_nonnegative,validation,high_flow,28,248.82799532488804,224.3299269572784,441.54673167539477
1,level_ridge_nonnegative,test,all,1967,129.30725093199098,82.22507473936967,275.2018111791798
1,level_ridge_nonnegative,test,high_flow,271,228.12233168208542,24.068373751222893,424.62178798387254
2,reference_delta_full,validation,all,6550,50.73125755358937,7.403141759834866,131.6044505106201
2,reference_delta_full,validation,high_flow,28,194.14880946731859,-37.263975198973924,377.98481916438396
2,reference_delta_full,test,all,1966,112.58509742011988,0.8834314062341448,274.5913158415694
2,reference_delta_full,test,high_flow,271,272.26070418556196,-47.591908273130954,413.8061800724522
2,level_ridge_unconstrained,validation,all,6550,170.0181549126431,166.27351051589406,262.47417095925925
2,level_ridge_unconstrained,validation,high_flow,28,219.27412418459264,197.05081360204272,401.00354414841354
2,level_ridge_unconstrained,test,all,1966,143.29092233054905,82.158618594681,311.49183099255686
2,level_ridge_unconstrained,test,high_flow,271,261.17817726095944,-4.206002969394985,429.5041603529883
2,level_ridge_nonnegative,validation,all,6550,175.4724515594272,173.90222233784647,270.4941929283298
2,level_ridge_nonnegative,validation,high_flow,28,255.66929325323576,233.36980018379248,467.43603521572095
2,level_ridge_nonnegative,test,all,1966,142.8996737800907,79.86276729430757,304.74554616772
2,level_ridge_nonnegative,test,high_flow,271,267.8858174296805,-7.6647576901451595,449.93739062325267
3,reference_delta_full,validation,all,6549,62.258473961999805,9.431748995031851,153.3111545784509
3,reference_delta_full,validation,high_flow,28,196.33987732450512,-50.690097039080094,361.9354173233189
3,reference_delta_full,test,all,1965,137.4355404298288,0.10826204036310705,293.7639553348943
3,reference_delta_full,test,high_flow,271,327.1096898861756,-69.41800965759751,503.930195517496
3,level_ridge_unconstrained,validation,all,6549,170.94385065604854,166.41599939215027,275.99100592813625
3,level_ridge_unconstrained,validation,high_flow,28,222.14333971776395,203.6207926105905,460.17943184389
