forecast_record,registered_at,reference_at,model_version,model_id,cohort,source_file,valid_at,forecast_m,nominal_lead_h,actual_lead_h,minimum_verified_lead_h,status,observed_m,error_m,abs_error_m,hit_within_050m
site:2026-09-21T22:16:25.486636-03:00:radar_arvores_live_candidate,2026-09-21T22:16:25.486636-03:00,2026-09-21T22:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-0.json,2026-09-21T23:00:00-03:00,16.92675935132131,1.0,0.7262537122222222,0,not_due,,,,
site:2026-09-21T22:16:25.486636-03:00:radar_arvores_live_candidate,2026-09-21T22:16:25.486636-03:00,2026-09-21T22:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-0.json,2026-09-22T00:00:00-03:00,17.762851507202047,2.0,1.7262537122222223,1,not_due,,,,
site:2026-09-21T22:16:25.486636-03:00:radar_arvores_live_candidate,2026-09-21T22:16:25.486636-03:00,2026-09-21T22:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-0.json,2026-09-22T01:00:00-03:00,18.125609408597334,3.0,2.7262537122222223,2,not_due,,,,
site:2026-09-21T22:16:25.486636-03:00:radar_arvores_live_candidate,2026-09-21T22:16:25.486636-03:00,2026-09-21T22:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-0.json,2026-09-22T02:00:00-03:00,18.312508299660465,4.0,3.7262537122222223,3,not_due,,,,
site:2026-09-21T22:16:25.486636-03:00:radar_arvores_live_candidate,2026-09-21T22:16:25.486636-03:00,2026-09-21T22:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-0.json,2026-09-22T03:00:00-03:00,18.202777801034152,5.0,4.7262537122222215,4,not_due,,,,
site:2026-09-21T22:16:25.486636-03:00:radar_arvores_live_candidate,2026-09-21T22:16:25.486636-03:00,2026-09-21T22:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-0.json,2026-09-22T04:00:00-03:00,17.99343660955717,6.0,5.7262537122222215,5,not_due,,,,
site:2026-09-21T21:54:17.202685-03:00:radar_arvores_live_candidate,2026-09-21T21:54:17.202685-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-1.json,2026-09-21T22:00:00-03:00,16.459804303976746,1.0,0.09522147638888889,0,matched,16.45,0.009804303976746,0.009804303976746,True
site:2026-09-21T21:54:17.202685-03:00:radar_arvores_live_candidate,2026-09-21T21:54:17.202685-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-1.json,2026-09-21T23:00:00-03:00,17.29027135219644,2.0,1.0952214763888888,1,not_due,,,,
site:2026-09-21T21:54:17.202685-03:00:radar_arvores_live_candidate,2026-09-21T21:54:17.202685-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-1.json,2026-09-22T00:00:00-03:00,17.66983691470511,3.0,2.095221476388889,2,not_due,,,,
site:2026-09-21T21:54:17.202685-03:00:radar_arvores_live_candidate,2026-09-21T21:54:17.202685-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-1.json,2026-09-22T01:00:00-03:00,17.970879728969834,4.0,3.095221476388889,3,not_due,,,,
site:2026-09-21T21:54:17.202685-03:00:radar_arvores_live_candidate,2026-09-21T21:54:17.202685-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-1.json,2026-09-22T02:00:00-03:00,17.864153287975977,5.0,4.095221476388889,4,not_due,,,,
site:2026-09-21T21:54:17.202685-03:00:radar_arvores_live_candidate,2026-09-21T21:54:17.202685-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/assertividade-previsoes-20260921-22h/site-round-1.json,2026-09-22T03:00:00-03:00,17.67200833294243,6.0,5.095221476388889,5,not_due,,,,
site:2026-09-21T21:19:00.099799-03:00:radar_arvores_live_candidate,2026-09-21T21:19:00.099799-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/validacao-previsao-site-6h/first-public-projection.json,2026-09-21T22:00:00-03:00,16.453720514363813,1.0,0.6833056113888889,0,matched,16.45,0.003720514363813,0.003720514363813,True
site:2026-09-21T21:19:00.099799-03:00:radar_arvores_live_candidate,2026-09-21T21:19:00.099799-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/validacao-previsao-site-6h/first-public-projection.json,2026-09-21T23:00:00-03:00,17.199199301474636,2.0,1.683305611388889,1,not_due,,,,
site:2026-09-21T21:19:00.099799-03:00:radar_arvores_live_candidate,2026-09-21T21:19:00.099799-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/validacao-previsao-site-6h/first-public-projection.json,2026-09-22T00:00:00-03:00,17.511328175882504,3.0,2.683305611388889,2,not_due,,,,
site:2026-09-21T21:19:00.099799-03:00:radar_arvores_live_candidate,2026-09-21T21:19:00.099799-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/validacao-previsao-site-6h/first-public-projection.json,2026-09-22T01:00:00-03:00,17.851327805722768,4.0,3.683305611388889,3,not_due,,,,
site:2026-09-21T21:19:00.099799-03:00:radar_arvores_live_candidate,2026-09-21T21:19:00.099799-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/validacao-previsao-site-6h/first-public-projection.json,2026-09-22T02:00:00-03:00,17.747735543232093,5.0,4.683305611388889,4,not_due,,,,
site:2026-09-21T21:19:00.099799-03:00:radar_arvores_live_candidate,2026-09-21T21:19:00.099799-03:00,2026-09-21T21:00:00-03:00,forecast-6h-v1,radar_arvores_live_candidate,site_saved_revision,outputs/validacao-previsao-site-6h/first-public-projection.json,2026-09-22T03:00:00-03:00,17.542145337490094,6.0,5.683305611388889,5,not_due,,,,
