phase,profile,horizon_h,family,subset,partition,scheduled_parent,classified_rows,observed_targets,unknown_truth
test,A,10,age_mixed_candidate,all,training_response_support,1958,1958,1935,23
test,A,10,profile_A_control,level_ge_7m,known_trend,1958,260,237,23
test,A,10,profile_A_control,level_ge_7m,future_response,1958,260,237,23
test,A,10,profile_A_control,level_ge_7m,training_response_support,1958,260,237,23
test,A,10,profile_B_control,level_ge_7m,known_trend,1958,260,237,23
test,A,10,profile_B_control,level_ge_7m,future_response,1958,260,237,23
test,A,10,profile_B_control,level_ge_7m,training_response_support,1958,260,237,23
test,A,10,mixed_profile_candidate,level_ge_7m,known_trend,1958,260,237,23
test,A,10,mixed_profile_candidate,level_ge_7m,future_response,1958,260,237,23
test,A,10,mixed_profile_candidate,level_ge_7m,training_response_support,1958,260,237,23
test,A,10,age_mixed_candidate,level_ge_7m,known_trend,1958,260,237,23
test,A,10,age_mixed_candidate,level_ge_7m,future_response,1958,260,237,23
test,A,10,age_mixed_candidate,level_ge_7m,training_response_support,1958,260,237,23
test,A,11,profile_A_control,all,known_trend,1957,1957,1934,23
test,A,11,profile_A_control,all,future_response,1957,1957,1934,23
test,A,11,profile_A_control,all,training_response_support,1957,1957,1934,23
test,A,11,profile_B_control,all,known_trend,1957,1957,1934,23
test,A,11,profile_B_control,all,future_response,1957,1957,1934,23
test,A,11,profile_B_control,all,training_response_support,1957,1957,1934,23
test,A,11,mixed_profile_candidate,all,known_trend,1957,1957,1934,23
test,A,11,mixed_profile_candidate,all,future_response,1957,1957,1934,23
test,A,11,mixed_profile_candidate,all,training_response_support,1957,1957,1934,23
test,A,11,age_mixed_candidate,all,known_trend,1957,1957,1934,23
test,A,11,age_mixed_candidate,all,future_response,1957,1957,1934,23
test,A,11,age_mixed_candidate,all,training_response_support,1957,1957,1934,23
test,A,11,profile_A_control,level_ge_7m,known_trend,1957,260,237,23
test,A,11,profile_A_control,level_ge_7m,future_response,1957,260,237,23
test,A,11,profile_A_control,level_ge_7m,training_response_support,1957,260,237,23
