horizon_h,phase,subset,feature_index,feature,excluded_missing
1,test,high_target_ge_7m,7,86472000:dH0.5,0
1,test,high_target_ge_7m,8,86472000:dH1,0
1,test,high_target_ge_7m,9,86472000:dH2,0
1,test,high_target_ge_7m,10,86472000:dH4,0
1,test,high_target_ge_7m,11,86472000:dH8,0
1,test,high_target_ge_7m,12,86472600:H,0
1,test,high_target_ge_7m,13,86472600:dH0.5,0
1,test,high_target_ge_7m,14,86472600:dH1,0
1,test,high_target_ge_7m,15,86472600:dH2,0
1,test,high_target_ge_7m,16,86472600:dH4,0
1,test,high_target_ge_7m,17,86472600:dH8,0
1,test,high_target_ge_7m,18,86500000:H,76
1,test,high_target_ge_7m,19,86500000:dH0.5,77
1,test,high_target_ge_7m,20,86500000:dH1,78
1,test,high_target_ge_7m,21,86500000:dH2,80
1,test,high_target_ge_7m,22,86500000:dH4,84
1,test,high_target_ge_7m,23,86500000:dH8,88
1,today,all,0,86510000:H,0
1,today,all,1,86510000:dH0.5,0
1,today,all,2,86510000:dH1,0
1,today,all,3,86510000:dH2,0
1,today,all,4,86510000:dH4,0
1,today,all,5,86510000:dH8,0
1,today,all,6,86472000:H,0
1,today,all,7,86472000:dH0.5,0
1,today,all,8,86472000:dH1,0
1,today,all,9,86472000:dH2,0
1,today,all,10,86472000:dH4,0
1,today,all,11,86472000:dH8,0
1,today,all,12,86472600:H,0
1,today,all,13,86472600:dH0.5,0
1,today,all,14,86472600:dH1,0
1,today,all,15,86472600:dH2,0
1,today,all,16,86472600:dH4,0
1,today,all,17,86472600:dH8,0
1,today,all,18,86500000:H,0
1,today,all,19,86500000:dH0.5,0
1,today,all,20,86500000:dH1,0
1,today,all,21,86500000:dH2,0
1,today,all,22,86500000:dH4,0
1,today,all,23,86500000:dH8,0
1,today,high_target_ge_7m,0,86510000:H,0
1,today,high_target_ge_7m,1,86510000:dH0.5,0
1,today,high_target_ge_7m,2,86510000:dH1,0
1,today,high_target_ge_7m,3,86510000:dH2,0
1,today,high_target_ge_7m,4,86510000:dH4,0
1,today,high_target_ge_7m,5,86510000:dH8,0
1,today,high_target_ge_7m,6,86472000:H,0
1,today,high_target_ge_7m,7,86472000:dH0.5,0
1,today,high_target_ge_7m,8,86472000:dH1,0
1,today,high_target_ge_7m,9,86472000:dH2,0
1,today,high_target_ge_7m,10,86472000:dH4,0
1,today,high_target_ge_7m,11,86472000:dH8,0
1,today,high_target_ge_7m,12,86472600:H,0
1,today,high_target_ge_7m,13,86472600:dH0.5,0
1,today,high_target_ge_7m,14,86472600:dH1,0
1,today,high_target_ge_7m,15,86472600:dH2,0
1,today,high_target_ge_7m,16,86472600:dH4,0
1,today,high_target_ge_7m,17,86472600:dH8,0
1,today,high_target_ge_7m,18,86500000:H,0
1,today,high_target_ge_7m,19,86500000:dH0.5,0
1,today,high_target_ge_7m,20,86500000:dH1,0
1,today,high_target_ge_7m,21,86500000:dH2,0
1,today,high_target_ge_7m,22,86500000:dH4,0
